,Batch,FPS,Memory,Method,Run,Time
40,7.0,0.012507534659433394,144.0,CA-LBF I,1.0,9.981857268081634e-06
41,8.0,0.013801935116676153,144.0,CA-LBF I,1.0,8.81008695416044e-06
42,9.0,0.015500741339803208,144.0,CA-LBF I,1.0,8.918143607474662e-06
43,10.0,0.017391304347826087,144.0,CA-LBF I,1.0,7.794949220272706e-06
44,0.0,0.0030557677616501145,144.0,CA-LBF II,2.0,9.308178229247793e-06
45,1.0,0.008327550312283136,176.0,CA-LBF II,2.0,5.924899548415821e-05
46,2.0,0.009544008483563097,176.0,CA-LBF II,2.0,6.97522737178565e-05
47,3.0,0.009219301686936054,176.0,CA-LBF II,2.0,8.092678434126605e-05
48,4.0,0.014587892049598834,176.0,CA-LBF II,2.0,8.910572875090159e-05
49,5.0,0.0235254006137061,208.0,CA-LBF II,2.0,9.591994938514045e-05
50,6.0,0.0183735420993769,208.0,CA-LBF II,2.0,0.00010512425349308894
51,7.0,0.012349397590361445,208.0,CA-LBF II,2.0,0.00012180463192120907
52,8.0,0.029562251279135872,208.0,CA-LBF II,2.0,0.00011201212163278814
53,9.0,0.028028567578493466,272.0,CA-LBF II,2.0,0.00012972696903093938
54,10.0,0.018286445012787724,272.0,CA-LBF II,2.0,0.00015401245402694988
55,0.0,0.0030557677616501145,144.0,LBF,2.0,2.53157947417484e-05
56,1.0,0.007864908628267407,176.0,LBF,2.0,7.482930337739684e-05
57,2.0,0.01505832449628844,176.0,LBF,2.0,6.910379496847445e-05
58,3.0,0.018438603373872108,176.0,LBF,2.0,8.072595873314315e-05
59,4.0,0.02662290299051787,176.0,LBF,2.0,9.616875549569665e-05
60,5.0,0.03852710535288101,208.0,LBF,2.0,9.134844625639222e-05
61,6.0,0.04553443042019492,208.0,LBF,2.0,9.236464629302154e-05
62,7.0,0.04743975903614458,208.0,LBF,2.0,0.0001097692025674356
63,8.0,0.05812961910176236,208.0,LBF,2.0,0.00010212097247276386
64,9.0,0.06966716076000538,272.0,LBF,2.0,0.0001328630903406599
65,10.0,0.07199488491048593,272.0,LBF,2.0,0.00012859881791652116
66,0.0,0.005092946269416858,63456.0,IA-LBF,2.0,1.3665023993851611e-05
67,1.0,0.005320379366180893,69164.0,IA-LBF,2.0,8.834348179987358e-06
68,2.0,0.005090137857900318,74784.0,IA-LBF,2.0,9.191976048639702e-06
69,3.0,0.004903883876029816,81688.0,IA-LBF,2.0,1.002644107549517e-05
70,4.0,0.004741064916119621,88984.0,IA-LBF,2.0,9.78653856332866e-06
71,5.0,0.00477326968973747,95904.0,IA-LBF,2.0,1.0505751455473207e-05
72,6.0,0.005112637801565745,103012.0,IA-LBF,2.0,9.105012223527237e-06
73,7.0,0.005421686746987952,111452.0,IA-LBF,2.0,1.0331306536827166e-05
74,8.0,0.005827174530983513,117372.0,IA-LBF,2.0,8.746640845792457e-06
