,Batch,FPS,Memory,Method,Run,Time
129,8.0,0.010240963855421687,144.0,LBF,3.0,2.38169680584918e-05
130,9.0,0.013112884834663626,144.0,LBF,3.0,2.5466248229309754e-05
131,10.0,0.01568415359653867,144.0,LBF,3.0,2.4474584139310398e-05
132,0.0,0.0010706638115631692,144.0,CA-LBF I,4.0,2.5739408519170056e-05
133,1.0,0.011661807580174927,176.0,CA-LBF I,4.0,6.982276999885267e-05
134,2.0,0.003587443946188341,176.0,CA-LBF I,4.0,0.00010967906055554667
135,3.0,0.0033277870216306157,176.0,CA-LBF I,4.0,0.00011706743084016393
136,4.0,0.0030911901081916537,176.0,CA-LBF I,4.0,0.00013585299090609524
137,5.0,0.006474820143884892,208.0,CA-LBF I,4.0,0.00015162509647223467
138,6.0,0.007352941176470588,208.0,CA-LBF I,4.0,0.00015962319295914447
139,7.0,0.021518987341772152,208.0,CA-LBF I,4.0,0.00023625316200675544
140,8.0,0.019831730769230768,208.0,CA-LBF I,4.0,0.00010716391133738088
141,9.0,0.014797951052931132,272.0,CA-LBF I,4.0,7.544245038713728e-05
142,10.0,0.015143320713899405,272.0,CA-LBF I,4.0,2.8853888040060527e-05
143,0.0,0.0010706638115631692,144.0,CA-LBF II,4.0,2.5658150241799552e-05
144,1.0,0.003887269193391642,176.0,CA-LBF II,4.0,6.710115026255123e-05
145,2.0,0.003587443946188341,176.0,CA-LBF II,4.0,0.00011221046656207309
146,3.0,0.0033277870216306157,176.0,CA-LBF II,4.0,0.00012515021152183656
147,4.0,0.0030911901081916537,176.0,CA-LBF II,4.0,0.00016185103869829022
148,5.0,0.006474820143884892,208.0,CA-LBF II,4.0,0.00022382684092704064
149,6.0,0.007352941176470588,208.0,CA-LBF II,4.0,0.0001851965169437596
150,7.0,0.010126582278481013,208.0,CA-LBF II,4.0,0.00019493600824377038
151,8.0,0.01141826923076923,208.0,CA-LBF II,4.0,0.0002010746316595392
152,9.0,0.015367103016505406,272.0,CA-LBF II,4.0,0.0002616958303765936
153,10.0,0.017847485127095726,272.0,CA-LBF II,4.0,0.0002001602571089189
154,0.0,0.01,64600.0,IA-LBF,4.0,2.587645021203446e-05
155,1.0,0.01,70796.0,IA-LBF,4.0,2.49649006160882e-05
156,2.0,0.01,77060.0,IA-LBF,4.0,2.805652514181502e-05
157,3.0,0.01,83308.0,IA-LBF,4.0,2.7742542204309682e-05
158,4.0,0.02,89248.0,IA-LBF,4.0,2.6688549687953595e-05
159,5.0,0.0014388489208633094,94972.0,IA-LBF,4.0,2.510039532770876e-05
160,6.0,0.0006684491978609625,100840.0,IA-LBF,4.0,2.208824366168246e-05
161,7.0,0.0006329113924050633,107880.0,IA-LBF,4.0,2.9442074534657238e-05
162,8.0,0.0006009615384615385,113932.0,IA-LBF,4.0,2.90268070095188e-05
163,9.0,0.0,119840.0,IA-LBF,4.0,2.6444812397380453e-05
164,10.0,0.0,126828.0,IA-LBF,4.0,2.6668821062360492e-05
165,0.0,0.0010706638115631692,144.0,LBF,4.0,2.5177263233759632e-05
166,1.0,0.003887269193391642,144.0,LBF,4.0,2.6209106862219305e-05
167,2.0,0.003587443946188341,144.0,LBF,4.0,2.6955630609897968e-05
168,3.0,0.0033277870216306157,144.0,LBF,4.0,2.6012378963616375e-05
169,4.0,0.0030911901081916537,144.0,LBF,4.0,2.4662643182473104e-05
170,5.0,0.006474820143884892,144.0,LBF,4.0,2.354741747913465e-05
171,6.0,0.007352941176470588,144.0,LBF,4.0,2.126876122313119e-05
172,7.0,0.010126582278481013,144.0,LBF,4.0,2.6933439485319367e-05
173,8.0,0.01141826923076923,144.0,LBF,4.0,2.6974049243298207e-05
174,9.0,0.01309049516220831,144.0,LBF,4.0,2.4300355177659254e-05
175,10.0,0.01568415359653867,144.0,LBF,4.0,2.4701212788676168e-05
176,0.0,0.0010857763300760044,144.0,CA-LBF I,5.0,2.3221447043222925e-05
177,1.0,0.0,176.0,CA-LBF I,5.0,4.892271073138128e-05
178,2.0,0.007239819004524887,176.0,CA-LBF I,5.0,5.389693004837453e-05
179,3.0,0.0,176.0,CA-LBF I,5.0,5.8802099175791925e-05
180,4.0,0.0023219814241486067,176.0,CA-LBF I,5.0,6.325388215278668e-05
181,5.0,0.0021691973969631237,208.0,CA-LBF I,5.0,5.589677987854337e-05
182,6.0,0.0,208.0,CA-LBF I,5.0,8.051642954675227e-05
183,7.0,0.0012634238787113076,208.0,CA-LBF I,5.0,2.9688353066915996e-05
184,8.0,0.001199040767386091,208.0,CA-LBF I,5.0,2.9912361731896035e-05
185,9.0,0.0011350737797956867,272.0,CA-LBF I,5.0,2.7085398579691793e-05
186,10.0,0.001081665765278529,272.0,CA-LBF I,5.0,2.7644765246045457e-05
187,0.0,0.0010857763300760044,144.0,CA-LBF II,5.0,2.100421957773705e-05
188,1.0,0.000984251968503937,176.0,CA-LBF II,5.0,9.464696456825798e-05
189,2.0,0.007239819004524887,176.0,CA-LBF II,5.0,6.955699191067389e-05
190,3.0,0.008340283569641367,176.0,CA-LBF II,5.0,3.4716611351471784e-05
191,4.0,0.008513931888544891,176.0,CA-LBF II,5.0,4.6737858506499746e-05
192,5.0,0.008676789587852495,208.0,CA-LBF II,5.0,3.821602284582586e-05
193,6.0,0.008091706001348618,208.0,CA-LBF II,5.0,3.343983426120112e-05
194,7.0,0.0082122552116235,208.0,CA-LBF II,5.0,3.242361676561963e-05
195,8.0,0.0077937649880095924,208.0,CA-LBF II,5.0,4.0252130110185226e-05
196,9.0,0.007945516458569807,272.0,CA-LBF II,5.0,3.92630860045716e-05
197,10.0,0.008112493239588967,272.0,CA-LBF II,5.0,4.992511246230576e-05
198,0.0,0,9312.0,IA-LBF,5.0,2.1129373001725705e-05
199,1.0,0,10144.0,IA-LBF,5.0,2.0708542703930798e-05
200,2.0,0,11648.0,IA-LBF,5.0,2.1032948311560793e-05
201,3.0,0,12632.0,IA-LBF,5.0,1.9900785769269766e-05
202,4.0,0,13788.0,IA-LBF,5.0,2.096389812198493e-05
203,5.0,0.008676789587852495,15000.0,IA-LBF,5.0,2.0589984831262807e-05
204,6.0,0.008091706001348618,15892.0,IA-LBF,5.0,1.897837946323749e-05
205,7.0,0.006317119393556538,16828.0,IA-LBF,5.0,1.965905283833598e-05
206,8.0,0.006594724220623501,18072.0,IA-LBF,5.0,2.1832329886300223e-05
207,9.0,0.006242905788876277,20152.0,IA-LBF,5.0,1.990402137840187e-05
208,10.0,0.005949161709031909,20800.0,IA-LBF,5.0,2.1409202408004594e-05
209,0.0,0.0010857763300760044,144.0,LBF,5.0,2.0737190769143302e-05
210,1.0,0.000984251968503937,144.0,LBF,5.0,1.981219307321017e-05
211,2.0,0.0009049773755656109,144.0,LBF,5.0,2.084403741555136e-05
212,3.0,0.0016680567139282735,144.0,LBF,5.0,1.9392680600692666e-05
213,4.0,0.0015479876160990713,144.0,LBF,5.0,1.9777016561539446e-05
214,5.0,0.0014461315979754157,144.0,LBF,5.0,2.026948772492956e-05
