,Batch,Classifier,FPS,Memory,Method,Run,Time
91,3.0,LR,0.03903654485049834,176.0,CA-LBF I,1.0,4.574249350959486e-05
92,4.0,LR,0.009259259259259259,176.0,CA-LBF I,1.0,5.2900262217704064e-05
93,5.0,LR,0.010021474588403722,208.0,CA-LBF I,1.0,7.616626760347294e-05
94,6.0,LR,0.020147750167897917,208.0,CA-LBF I,1.0,4.0841232883474214e-05
95,7.0,LR,0.010120177103099304,208.0,CA-LBF I,1.0,4.126344408307757e-05
96,8.0,LR,0.01141826923076923,208.0,CA-LBF I,1.0,3.062630747700785e-05
97,9.0,LR,0.011363636363636364,272.0,CA-LBF I,1.0,2.599417508303464e-05
98,10.0,LR,0.01081665765278529,272.0,CA-LBF I,1.0,2.7897593739268543e-05
99,0.0,LR,0.4255788313120176,144.0,CA-LBF II,1.0,2.6903936307724207e-05
100,1.0,LR,0.42162698412698413,176.0,CA-LBF II,1.0,6.821898163342085e-05
101,2.0,LR,0.4316742081447964,176.0,CA-LBF II,1.0,6.585433834888896e-05
102,3.0,LR,0.43106312292358806,176.0,CA-LBF II,1.0,3.448600977496371e-05
103,4.0,LR,0.43209876543209874,176.0,CA-LBF II,1.0,4.873640550290301e-05
104,5.0,LR,0.4316392269148175,208.0,CA-LBF II,1.0,4.88249981989626e-05
105,6.0,LR,0.4271323035594359,208.0,CA-LBF II,1.0,5.301100308777856e-05
106,7.0,LR,1.0,208.0,CA-LBF II,1.0,4.2166028703962055e-05
107,8.0,LR,1.0,208.0,CA-LBF II,1.0,9.730884007045201e-05
108,9.0,LR,1.0,272.0,CA-LBF II,1.0,4.440742534595531e-05
109,10.0,LR,1.0,272.0,CA-LBF II,1.0,4.251841660384294e-05
110,0.0,LR,0.422271223814774,13728.0,IA-LBF,1.0,3.029000269223566e-05
111,1.0,LR,0.41865079365079366,14640.0,IA-LBF,1.0,2.1083758828418502e-05
112,2.0,LR,0.4280542986425339,15808.0,IA-LBF,1.0,2.198010845913913e-05
113,3.0,LR,0.4269102990033223,17296.0,IA-LBF,1.0,2.0814072238942964e-05
114,4.0,LR,0.42746913580246915,18640.0,IA-LBF,1.0,2.2529904308214866e-05
115,5.0,LR,0.4266284896206156,19520.0,IA-LBF,1.0,2.029293873271004e-05
116,6.0,LR,0.42175957018132976,21152.0,IA-LBF,1.0,2.296635361968494e-05
117,7.0,LR,0.42314990512333966,22512.0,IA-LBF,1.0,2.310302231337998e-05
118,8.0,LR,0.4230769230769231,23728.0,IA-LBF,1.0,2.518459990784362e-05
119,9.0,LR,0.42272727272727273,25296.0,IA-LBF,1.0,2.2374666654146633e-05
120,10.0,LR,0.42022714981070847,26800.0,IA-LBF,1.0,2.388508765252082e-05
121,0.0,LR,0.4255788313120176,144.0,LBF,1.0,2.2760809284366974e-05
122,1.0,LR,0.42162698412698413,144.0,LBF,1.0,2.0346354917098916e-05
123,2.0,LR,0.4316742081447964,144.0,LBF,1.0,2.107203332452826e-05
124,3.0,LR,0.43106312292358806,144.0,LBF,1.0,2.0493575132609718e-05
125,4.0,LR,0.43209876543209874,144.0,LBF,1.0,2.1830282576097164e-05
126,5.0,LR,0.4316392269148175,144.0,LBF,1.0,1.9882546096551613e-05
127,6.0,LR,0.4264607118871726,144.0,LBF,1.0,2.210387766686945e-05
128,7.0,LR,0.42947501581277675,144.0,LBF,1.0,2.2242357442667195e-05
129,8.0,LR,0.43149038461538464,144.0,LBF,1.0,2.427808531038054e-05
130,9.0,LR,0.4340909090909091,144.0,LBF,1.0,2.1453742142562027e-05
131,10.0,LR,0.43482963764196864,144.0,LBF,1.0,2.2711334647713125e-05
132,0.0,SVM,1.0,144.0,CA-LBF I,2.0,2.620723149547838e-05
133,1.0,SVM,0.0,176.0,CA-LBF I,2.0,5.383048552632983e-05
134,2.0,SVM,1.0,176.0,CA-LBF I,2.0,2.4910181597933743e-05
135,3.0,SVM,0.0,176.0,CA-LBF I,2.0,0.00010316228606010395
136,4.0,SVM,0.0,176.0,CA-LBF I,2.0,0.00013668289601477117
137,5.0,SVM,1.0,208.0,CA-LBF I,2.0,2.501571113294591e-05
138,6.0,SVM,0.0,208.0,CA-LBF I,2.0,0.00016949737006849278
139,7.0,SVM,0.0,208.0,CA-LBF I,2.0,0.0001860791510278052
140,8.0,SVM,0.0006064281382656155,208.0,CA-LBF I,2.0,0.00022498591915591731
141,9.0,SVM,1.0,272.0,CA-LBF I,2.0,2.2994292961372125e-05
142,10.0,SVM,0.0016224986479177934,272.0,CA-LBF I,2.0,0.0002560929937677069
143,0.0,SVM,1.0,144.0,CA-LBF II,2.0,2.7085134427841396e-05
144,1.0,SVM,1.0,176.0,CA-LBF II,2.0,2.6943905106007727e-05
145,2.0,SVM,1.0,176.0,CA-LBF II,2.0,2.4847645577185793e-05
146,3.0,SVM,1.0,176.0,CA-LBF II,2.0,2.7124998999423668e-05
147,4.0,SVM,1.0,176.0,CA-LBF II,2.0,2.8280612549495177e-05
148,5.0,SVM,1.0,208.0,CA-LBF II,2.0,2.465482617987961e-05
149,6.0,SVM,1.0,208.0,CA-LBF II,2.0,2.6089246155785734e-05
150,7.0,SVM,1.0,208.0,CA-LBF II,2.0,2.5505547995095723e-05
151,8.0,SVM,1.0,208.0,CA-LBF II,2.0,2.6349182967301254e-05
152,9.0,SVM,1.0,272.0,CA-LBF II,2.0,2.283971388261397e-05
153,10.0,SVM,1.0,272.0,CA-LBF II,2.0,2.4900331601991758e-05
154,0.0,SVM,1.0,224.0,IA-LBF,2.0,2.8269780825262202e-05
155,1.0,SVM,1.0,224.0,IA-LBF,2.0,2.3370232087015454e-05
156,2.0,SVM,1.0,224.0,IA-LBF,2.0,2.169218219694544e-05
157,3.0,SVM,1.0,224.0,IA-LBF,2.0,2.3788441725767377e-05
158,4.0,SVM,1.0,224.0,IA-LBF,2.0,2.5096486826412013e-05
159,5.0,SVM,1.0,224.0,IA-LBF,2.0,2.17026048670701e-05
160,6.0,SVM,1.0,224.0,IA-LBF,2.0,2.3043220811854295e-05
161,7.0,SVM,1.0,224.0,IA-LBF,2.0,2.20052488557585e-05
162,8.0,SVM,1.0,224.0,IA-LBF,2.0,2.362701919052627e-05
163,9.0,SVM,1.0,224.0,IA-LBF,2.0,1.9138985937768285e-05
164,10.0,SVM,1.0,224.0,IA-LBF,2.0,2.1777310214199863e-05
165,0.0,SVM,1.0,144.0,LBF,2.0,2.1774605528949057e-05
166,1.0,SVM,1.0,144.0,LBF,2.0,2.2881669424922088e-05
167,2.0,SVM,1.0,144.0,LBF,2.0,2.147721462562436e-05
168,3.0,SVM,1.0,144.0,LBF,2.0,2.340150009738943e-05
169,4.0,SVM,1.0,144.0,LBF,2.0,2.4464612450104593e-05
170,5.0,SVM,1.0,144.0,LBF,2.0,2.133129724387914e-05
171,6.0,SVM,1.0,144.0,LBF,2.0,2.2093454996744793e-05
172,7.0,SVM,1.0,144.0,LBF,2.0,2.1287373134068082e-05
173,8.0,SVM,1.0,144.0,LBF,2.0,2.343052036159641e-05
174,9.0,SVM,1.0,144.0,LBF,2.0,1.8483989841335422e-05
175,10.0,SVM,1.0,144.0,LBF,2.0,2.134894276713277e-05
176,0.0,NN,0.4,144.0,CA-LBF I,2.0,0.0005382442474365234
177,1.0,NN,0.4518664047151277,176.0,CA-LBF I,2.0,0.00010860943403400359
178,2.0,NN,0.9820305480682839,176.0,CA-LBF I,2.0,5.2345255033566003e-05
179,3.0,NN,0.9875,176.0,CA-LBF I,2.0,5.7391130207666284e-05
180,4.0,NN,0.5152224824355972,176.0,CA-LBF I,2.0,0.0002519823814350399
181,5.0,NN,0.5482933914306464,208.0,CA-LBF I,2.0,0.00012984171591169847
182,6.0,NN,0.9870572207084468,208.0,CA-LBF I,2.0,5.275173916842768e-05
183,7.0,NN,0.5627400768245838,208.0,CA-LBF I,2.0,0.00014344676510318294
184,8.0,NN,0.5833838690115222,208.0,CA-LBF I,2.0,0.0004124968916505248
185,9.0,NN,0.9851851851851852,272.0,CA-LBF I,2.0,4.635931371332525e-05
186,10.0,NN,0.6327744726879394,272.0,CA-LBF I,2.0,0.00046043343596406037
187,0.0,NN,0.4032258064516129,144.0,CA-LBF II,2.0,0.0005428997457843938
188,1.0,NN,1.0,176.0,CA-LBF II,2.0,0.00022081990059607666
189,2.0,NN,1.0,176.0,CA-LBF II,2.0,0.00018271722428785648
190,3.0,NN,1.0,176.0,CA-LBF II,2.0,0.00028991308368620325
191,4.0,NN,1.0,176.0,CA-LBF II,2.0,0.000255687640664356
192,5.0,NN,1.0,208.0,CA-LBF II,2.0,0.00019899352652127624
193,6.0,NN,1.0,208.0,CA-LBF II,2.0,0.0002462837865443829
194,7.0,NN,1.0,208.0,CA-LBF II,2.0,0.00022468986092032966
195,8.0,NN,1.0,208.0,CA-LBF II,2.0,0.00027532891912774725
196,9.0,NN,1.0,272.0,CA-LBF II,2.0,0.00016134780841869312
197,10.0,NN,1.0,272.0,CA-LBF II,2.0,0.00020849442743993069
198,0.0,NN,0.00967741935483871,28016.0,IA-LBF,2.0,0.0005441568975579249
199,1.0,NN,0.008840864440078585,30224.0,IA-LBF,2.0,5.027765784758688e-05
200,2.0,NN,0.008086253369272238,32912.0,IA-LBF,2.0,4.6313134698919914e-05
201,3.0,NN,0.008333333333333333,36544.0,IA-LBF,2.0,5.014737447102865e-05
202,4.0,NN,0.0078064012490242,40992.0,IA-LBF,2.0,5.3145194965633536e-05
203,5.0,NN,0.007262164124909223,44032.0,IA-LBF,2.0,4.6073413286052764e-05
204,6.0,NN,0.006811989100817439,46368.0,IA-LBF,2.0,4.943081589995837e-05
205,7.0,NN,0.006402048655569782,48688.0,IA-LBF,2.0,4.661607218312693e-05
206,8.0,NN,0.006064281382656155,52304.0,IA-LBF,2.0,4.95452147263747e-05
207,9.0,NN,0.0062678062678062675,53872.0,IA-LBF,2.0,4.113244486379099e-05
208,10.0,NN,0.005949161709031909,56160.0,IA-LBF,2.0,4.6743141425834906e-05
209,0.0,NN,0.9698924731182795,144.0,LBF,2.0,6.0687522365622325e-05
210,1.0,NN,0.9705304518664047,144.0,LBF,2.0,4.472758600620624e-05
211,2.0,NN,0.97214734950584,144.0,LBF,2.0,4.221441967239797e-05
212,3.0,NN,0.9716666666666667,144.0,LBF,2.0,4.513797864236467e-05
213,4.0,NN,0.9718969555035128,144.0,LBF,2.0,4.830386469272968e-05
214,5.0,NN,0.9709513435003632,144.0,LBF,2.0,4.169068049863388e-05
215,6.0,NN,0.9713896457765667,144.0,LBF,2.0,4.359151496261847e-05
216,7.0,NN,0.9686299615877081,144.0,LBF,2.0,4.203764946906121e-05
217,8.0,NN,0.9696785930867192,144.0,LBF,2.0,4.555235852251996e-05
218,9.0,NN,0.9703703703703703,144.0,LBF,2.0,3.621211418738732e-05
219,10.0,NN,0.971335857220119,144.0,LBF,2.0,4.1453392951043094e-05
220,0.0,LR,0.0,144.0,CA-LBF I,2.0,3.8245606095823524e-05
221,1.0,LR,0.0,176.0,CA-LBF I,2.0,3.0015987125250812e-05
222,2.0,LR,0.0,176.0,CA-LBF I,2.0,2.7079399817628287e-05
223,3.0,LR,0.0,176.0,CA-LBF I,2.0,3.113121282858927e-05
224,4.0,LR,0.0,176.0,CA-LBF I,2.0,2.990264058764515e-05
225,5.0,LR,0.0,208.0,CA-LBF I,2.0,2.6915242763164916e-05
226,6.0,LR,0.0,208.0,CA-LBF I,2.0,2.8433044100068307e-05
227,7.0,LR,0.0,208.0,CA-LBF I,2.0,5.9573204962761844e-05
228,8.0,LR,0.0,208.0,CA-LBF I,2.0,2.885781801663912e-05
229,9.0,LR,0.0,272.0,CA-LBF I,2.0,7.393726935753456e-05
230,10.0,LR,0.0,272.0,CA-LBF I,2.0,4.0684427533830914e-05
231,0.0,LR,0.0,144.0,CA-LBF II,2.0,3.839819398644852e-05
232,1.0,LR,0.5324165029469549,176.0,CA-LBF II,2.0,4.1225568844321e-05
233,2.0,LR,0.5283018867924528,176.0,CA-LBF II,2.0,2.733475523568242e-05
234,3.0,LR,0.5258333333333334,176.0,CA-LBF II,2.0,6.2625916277776e-05
235,4.0,LR,0.5238095238095238,176.0,CA-LBF II,2.0,6.691223936654179e-05
236,5.0,LR,0.5344952795933188,208.0,CA-LBF II,2.0,3.813654998612534e-05
237,6.0,LR,0.5367847411444142,208.0,CA-LBF II,2.0,8.922066193460766e-05
238,7.0,LR,0.5371318822023048,208.0,CA-LBF II,2.0,4.12660640674633e-05
239,8.0,LR,1.0,208.0,CA-LBF II,2.0,3.025295970204112e-05
240,9.0,LR,1.0,272.0,CA-LBF II,2.0,4.0862586472060656e-05
241,10.0,LR,1.0,272.0,CA-LBF II,2.0,4.176255110855941e-05
242,0.0,LR,0.0,224.0,IA-LBF,2.0,3.911919789771511e-05
243,1.0,LR,0.0,224.0,IA-LBF,2.0,2.2632828175695868e-05
244,2.0,LR,0.0,224.0,IA-LBF,2.0,2.042322210926827e-05
245,3.0,LR,0.0,224.0,IA-LBF,2.0,2.2571594988713498e-05
246,4.0,LR,0.0,224.0,IA-LBF,2.0,2.364513001155332e-05
247,5.0,LR,0.0,224.0,IA-LBF,2.0,2.0295544400241207e-05
248,6.0,LR,0.0,224.0,IA-LBF,2.0,2.1603589500885843e-05
249,7.0,LR,0.0,224.0,IA-LBF,2.0,2.068608671754271e-05
250,8.0,LR,0.0,224.0,IA-LBF,2.0,2.2876393664014207e-05
251,9.0,LR,0.0,224.0,IA-LBF,2.0,1.7961302956381996e-05
252,10.0,LR,0.0,224.0,IA-LBF,2.0,2.1055504515930848e-05
253,0.0,LR,0.0,144.0,LBF,2.0,2.0856334738535425e-05
254,1.0,LR,0.0,144.0,LBF,2.0,2.2187259027866718e-05
255,2.0,LR,0.0,144.0,LBF,2.0,2.054047714817068e-05
256,3.0,LR,0.0,144.0,LBF,2.0,2.187327609036138e-05
257,4.0,LR,0.0,144.0,LBF,2.0,2.3150053180632045e-05
258,5.0,LR,0.0,144.0,LBF,2.0,1.9793953400492016e-05
259,6.0,LR,0.0,144.0,LBF,2.0,2.138731909579918e-05
260,7.0,LR,0.0,144.0,LBF,2.0,2.0273439176790008e-05
261,8.0,LR,0.0,144.0,LBF,2.0,2.1476012009840746e-05
262,9.0,LR,0.0,144.0,LBF,2.0,1.769668453342312e-05
263,10.0,LR,0.0,144.0,LBF,2.0,2.0066460410317223e-05
264,0.0,SVM,1.0,144.0,CA-LBF I,3.0,2.661378416296554e-05
265,1.0,SVM,1.0,176.0,CA-LBF I,3.0,2.696214477872588e-05
266,2.0,SVM,1.0,176.0,CA-LBF I,3.0,2.5153811512097634e-05
267,3.0,SVM,1.0,176.0,CA-LBF I,3.0,2.6219529532343963e-05
268,4.0,SVM,0.0,176.0,CA-LBF I,3.0,0.00011639386578335788
269,5.0,SVM,1.0,208.0,CA-LBF I,3.0,2.5450857610650402e-05
270,6.0,SVM,1.0,208.0,CA-LBF I,3.0,2.741943943044527e-05
271,7.0,SVM,1.0,208.0,CA-LBF I,3.0,2.6447432381766184e-05
272,8.0,SVM,1.0,208.0,CA-LBF I,3.0,2.579505626971905e-05
273,9.0,SVM,1.0,272.0,CA-LBF I,3.0,2.66570311326247e-05
274,10.0,SVM,0.0,272.0,CA-LBF I,3.0,0.0002685588794750172
275,0.0,SVM,0.4085106382978723,144.0,CA-LBF II,3.0,2.725966989177547e-05
276,1.0,SVM,1.0,176.0,CA-LBF II,3.0,5.3087870279947914e-05
277,2.0,SVM,1.0,176.0,CA-LBF II,3.0,4.892271073138128e-05
278,3.0,SVM,1.0,176.0,CA-LBF II,3.0,4.9880293549084275e-05
279,4.0,SVM,1.0,176.0,CA-LBF II,3.0,4.903736010275252e-05
280,5.0,SVM,1.0,208.0,CA-LBF II,3.0,5.005226760614114e-05
281,6.0,SVM,1.0,208.0,CA-LBF II,3.0,4.85748541159708e-05
282,7.0,SVM,1.0,208.0,CA-LBF II,3.0,5.2475667261815336e-05
283,8.0,SVM,1.0,208.0,CA-LBF II,3.0,5.058272854312436e-05
284,9.0,SVM,1.0,272.0,CA-LBF II,3.0,5.028798029972957e-05
285,10.0,SVM,1.0,272.0,CA-LBF II,3.0,5.0623338301103195e-05
286,0.0,SVM,0.0,27440.0,IA-LBF,3.0,3.469232010514769e-05
287,1.0,SVM,0.0,30736.0,IA-LBF,3.0,2.7037709137129652e-05
288,2.0,SVM,0.0,34640.0,IA-LBF,3.0,2.51342690056139e-05
289,3.0,SVM,0.0008244023083264633,38192.0,IA-LBF,3.0,2.48398285745923e-05
290,4.0,SVM,0.0007639419404125286,41312.0,IA-LBF,3.0,2.406724815160199e-05
291,5.0,SVM,0.0007142857142857143,43936.0,IA-LBF,3.0,2.5622831667707266e-05
292,6.0,SVM,0.0006697923643670462,47104.0,IA-LBF,3.0,2.5005288462821252e-05
293,7.0,SVM,0.0006325110689437065,49760.0,IA-LBF,3.0,2.6815540187961453e-05
294,8.0,SVM,0.0005988023952095808,52592.0,IA-LBF,3.0,2.5863175863748067e-05
295,9.0,SVM,0.0005681818181818182,55024.0,IA-LBF,3.0,2.5606417393946387e-05
296,10.0,SVM,0.001081665765278529,57664.0,IA-LBF,3.0,2.6324293115636805e-05
297,0.0,SVM,1.0,144.0,LBF,3.0,2.1159158994073738e-05
298,1.0,SVM,1.0,144.0,LBF,3.0,2.396562711788657e-05
299,2.0,SVM,1.0,144.0,LBF,3.0,2.094696128303236e-05
300,3.0,SVM,1.0,144.0,LBF,3.0,2.1525419474950904e-05
301,4.0,SVM,1.0,144.0,LBF,3.0,2.09365386129077e-05
302,5.0,SVM,1.0,144.0,LBF,3.0,2.2403529432953382e-05
303,6.0,SVM,1.0,144.0,LBF,3.0,2.1981411292904714e-05
304,7.0,SVM,1.0,144.0,LBF,3.0,2.2800414116827996e-05
305,8.0,SVM,1.0,144.0,LBF,3.0,2.2821373991913848e-05
306,9.0,SVM,1.0,144.0,LBF,3.0,2.262356517079112e-05
307,10.0,SVM,1.0,144.0,LBF,3.0,2.2457196162297176e-05
308,0.0,NN,0.4053191489361702,144.0,CA-LBF I,3.0,0.0005370516319797464
309,1.0,NN,0.48292682926829267,176.0,CA-LBF I,3.0,0.00010903024934028668
310,2.0,NN,0.9946428571428572,176.0,CA-LBF I,3.0,5.162478796119899e-05
311,3.0,NN,0.9958779884583677,176.0,CA-LBF I,3.0,5.842036888247631e-05
312,4.0,NN,0.9946524064171123,176.0,CA-LBF I,3.0,5.03571307072874e-05
313,5.0,NN,0.5314285714285715,208.0,CA-LBF I,3.0,0.00027031716101807974
314,6.0,NN,0.5632953784326858,208.0,CA-LBF I,3.0,0.0003301015968531207
315,7.0,NN,0.6135357368753953,208.0,CA-LBF I,3.0,0.00035030370230203147
316,8.0,NN,0.9958083832335329,208.0,CA-LBF I,3.0,5.6738381857400414e-05
317,9.0,NN,0.9960227272727272,272.0,CA-LBF I,3.0,6.900252876700936e-05
318,10.0,NN,0.989724175229854,272.0,CA-LBF I,3.0,5.4189137050083703e-05
319,0.0,NN,0.9606382978723405,144.0,CA-LBF II,3.0,0.000582505709504428
320,1.0,NN,0.9609756097560975,176.0,CA-LBF II,3.0,0.0001576611253081775
321,2.0,NN,0.9955357142857143,176.0,CA-LBF II,3.0,0.0001948361839753031
322,3.0,NN,0.9942291838417148,176.0,CA-LBF II,3.0,0.0001622926993448226
323,4.0,NN,0.9946524064171123,176.0,CA-LBF II,3.0,0.00010353359368329491
324,5.0,NN,0.995,208.0,CA-LBF II,3.0,0.00023053252631849278
325,6.0,NN,0.9946416610850636,208.0,CA-LBF II,3.0,0.00011959101984409687
326,7.0,NN,0.9955724225173941,208.0,CA-LBF II,3.0,0.000220140258034507
327,8.0,NN,0.9952095808383233,208.0,CA-LBF II,3.0,0.0001488269030392825
328,9.0,NN,1.0,272.0,CA-LBF II,3.0,0.00025524018885015134
329,10.0,NN,1.0,272.0,CA-LBF II,3.0,0.0002071215556218074
330,0.0,NN,0.0,27264.0,IA-LBF,3.0,0.0005971793605856699
331,1.0,NN,0.0,29968.0,IA-LBF,3.0,5.0961645574517586e-05
332,2.0,NN,0.0,34416.0,IA-LBF,3.0,4.7089623623206964e-05
